ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
24.92,11.25,53.8,8.21,1.82
24.17,11.18,52.87,9.97,1.81
25.15,11.66,52.15,9.2,1.84
25.15,11.08,52.69,9.88,1.2
26.55,10.91,52.21,9.14,1.18
25.51,10.85,52.79,9.68,1.17
25.14,10.57,52.86,10.29,1.14
23.56,10.34,54.02,10.34,1.72
27.91,9.82,51.94,9.3,1.03
27.76,9.77,51.67,9.77,1.03
26.45,12.5,52.91,7.56,0.58
25.63,10.31,52.65,11.42,0.0
26.95,13.77,52.1,6.89,0.3
26.83,11.59,53.35,7.93,0.3
26.54,11.73,54.75,6.98,0.0
26.75,11.25,54.5,7.5,0.0
25.87,15.14,50.79,7.26,0.95
26.97,13.94,51.21,6.97,0.91
25.0,11.78,53.74,8.33,1.15
24.29,11.71,54.57,8.29,1.14
25.67,14.03,51.34,8.06,0.9
26.81,13.86,50.9,7.53,0.9
25.98,13.9,51.66,7.55,0.91
25.65,12.1,53.03,8.36,0.86
27.7,11.36,54.29,6.09,0.55
29.02,11.49,51.15,8.33,0.0
28.46,9.92,53.0,8.62,0.0
28.79,11.31,52.44,7.2,0.26
28.05,11.33,52.97,7.65,0.0
26.8,12.1,53.6,7.49,0.0
26.74,12.21,53.78,7.27,0.0
26.73,12.61,53.15,7.51,0.0
28.13,11.7,52.92,7.24,0.0
27.07,11.4,54.7,6.84,0.0
27.76,11.61,53.82,6.8,0.0
27.37,11.45,55.03,6.15,0.0
26.67,11.88,54.2,7.25,0.0
27.54,12.17,52.17,8.12,0.0
27.81,12.43,51.78,7.99,0.0
26.94,11.39,55.28,6.39,0.0
25.81,12.02,54.84,7.33,0.0
26.69,14.72,51.84,6.75,0.0
25.28,11.65,55.97,7.1,0.0
25.82,12.46,54.6,7.12,0.0
25.28,11.8,55.9,7.02,0.0
26.15,11.78,55.46,6.61,0.0
25.81,12.02,54.84,7.33,0.0
26.42,11.32,53.1,9.16,0.0
26.8,12.68,53.89,6.63,0.0
25.76,9.6,58.08,6.57,0.0
